編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2018/3/8 下午 11:28:00,121.69,24.2,12.2,3.8,花蓮縣政府北偏東方  23.7  公里 (位於花蓮縣近海)
071   ,2018/3/6 下午 05:42:00,121.85,24.74,87.2,4.8,宜蘭縣政府東方  9.1  公里 (位於宜蘭縣近海)
小區域,2018/3/6 下午 03:14:00,121.54,23.93,5,3.7,花蓮縣政府西南方  10.8  公里 (位於花蓮縣吉安鄉)
小區域,2018/3/6 下午 03:08:00,121.55,23.91,9.3,3.3,花蓮縣政府西南方  12.0  公里 (位於花蓮縣壽豐鄉)
小區域,2018/3/6 下午 12:40:00,121.52,25.02,7.8,2.6,臺北市政府西偏南方  5.3  公里 (位於臺北市中正區)
小區域,2018/3/6 上午 11:22:00,121.58,23.97,8.6,3.5,花蓮縣政府西偏南方  5.0  公里 (位於花蓮縣吉安鄉)
小區域,2018/3/5 下午 10:40:00,121.68,24.24,12.8,3.5,花蓮縣政府北偏東方  28.6  公里 (位於花蓮縣秀林鄉)
小區域,2018/3/4 下午 11:19:00,121.61,24.06,9.2,3.2,花蓮縣政府北方  7.7  公里 (位於花蓮縣近海)
小區域,2018/3/4 下午 02:32:00,121.72,21.94,12.4,4,臺東縣政府東南方  107.2  公里 (位於臺灣東南部海域)
小區域,2018/3/4 上午 11:20:00,121.71,24.17,11.2,3.6,花蓮縣政府北偏東方  21.9  公里 (位於花蓮縣近海)
小區域,2018/3/4 上午 10:32:00,121.73,23.93,7.3,3,花蓮縣政府東偏南方  13.0  公里 (位於臺灣東部海域)
070   ,2018/3/4 上午 01:35:00,121.67,24.2,6.2,4.6,花蓮縣政府北偏東方  23.5  公里 (位於花蓮縣近海)
小區域,2018/3/4 上午 01:20:00,121.84,24.46,15.4,3.4,宜蘭縣政府南偏東方  30.9  公里 (位於宜蘭縣近海)
小區域,2018/3/3 下午 05:09:00,120.61,23.05,6.9,3.6,高雄市政府東北方  56.1  公里 (位於高雄市甲仙區)
小區域,2018/3/2 下午 07:45:00,121.55,24.03,7.1,2.7,花蓮縣政府西偏北方  8.1  公里 (位於花蓮縣秀林鄉)
小區域,2018/3/2 上午 11:42:00,122.97,24.32,30.1,5,宜蘭縣政府東偏南方  130.9  公里 (位於臺灣東部海域)
小區域,2018/3/2 上午 01:47:00,121.57,23.98,10.2,3,花蓮縣政府西偏南方  5.5  公里 (位於花蓮縣吉安鄉)
小區域,2018/3/2 上午 12:49:00,121.56,24.18,23.1,3.5,花蓮縣政府北偏西方  22.0  公里 (位於花蓮縣秀林鄉)
小區域,2018/3/2 上午 12:10:00,121.72,24.68,8.9,3.5,宜蘭縣政府西南方  7.4  公里 (位於宜蘭縣冬山鄉)
小區域,2018/3/2 上午 12:08:00,121.58,23.96,13.3,3.1,花蓮縣政府西南方  5.8  公里 (位於花蓮縣吉安鄉)
